# LShoulderPitch,LShoulderRoll,BlobX,BlobY
5.958640360534555036e-01,3.708879108023075966e-01,5.770189260036375778e-01,7.651911198045970863e-01
2.264750944472129213e-01,4.797931658356510143e-01,2.780239771869809084e-01,2.995253411445610858e-01
5.271305800252121809e-01,2.730655418849567972e-01,8.013520341809243774e-01,7.503933967530517224e-01
7.353950273127095594e-01,5.958007500739787021e-01,5.918984891447442998e-02,7.792100736353050339e-01
1.841739579899929757e-01,2.524221064748505272e-01,8.124191333680482741e-01,3.921319333470748569e-01
1.280146054951709911e-02,4.683848407848065776e-01,2.814737226812458193e-01,7.543204367814271283e-02
4.592647519560243974e-01,5.563635416627026320e-01,1.221947411812085438e-01,5.046397710634702438e-01
5.717584320835155109e-01,4.104909762396738437e-01,4.804630739052685451e-01,7.150302982509878502e-01
5.589766468415993117e-01,3.495543856384021875e-01,6.235241012298500252e-01,7.382870684083985280e-01
1.545240437788116261e-01,2.361634690871885489e-01,8.476917168919735346e-01,3.699655724548723823e-01
1.715479664950198546e-01,2.557199269831978983e-01,8.032060338707213143e-01,3.764735027134874512e-01
7.012324356118945223e-01,2.547388272535336950e-01,8.640298876996819200e-01,9.497920766426982686e-01
2.265185918914389696e-01,3.064288358846558036e-01,6.890527845430709508e-01,4.050565077452368268e-01
4.335230322662510516e-01,2.480494951719839358e-01,8.503238685707733557e-01,6.644012862347595805e-01
4.026806695977806494e-01,2.629106665991779446e-01,8.116837894487060057e-01,6.220106329138656021e-01
-7.376087910302732420e-02,3.042732487710206879e-01,6.610008489392950048e-01,8.169074093894690414e-02
2.675672164927320185e-01,4.227669649684992481e-01,4.177637628843763329e-01,3.786540125044460803e-01
2.236185103174416766e-01,2.511327630517564691e-01,8.198322117493297423e-01,4.355658825376949039e-01
6.557831249281855790e-01,3.038246063348817860e-01,7.426345934000807558e-01,8.707835701994477429e-01
7.961728011903500546e-01,3.826668801486040605e-01,5.712144296330304849e-01,9.746081258312384588e-01
2.256701437846868608e-01,3.516520624584615895e-01,5.817407660899547306e-01,3.766228918525552638e-01
2.220695352051674787e-01,3.706011544231110899e-01,5.364173161957078717e-01,3.612000903613400427e-01
6.730789940004621164e-01,4.919003183528718459e-01,2.986419772585551247e-01,7.750494110295697014e-01
3.556320157124938097e-01,3.775794032124651367e-01,5.346233068128516397e-01,5.013686550960534394e-01
2.667879316746354923e-01,2.018125090980531500e-01,9.415316265248200311e-01,5.122519244654537562e-01
3.481069466589062356e-03,4.640224735445405702e-01,2.907869869325667711e-01,6.800866340656142039e-02
2.161650462803068051e-01,3.141769964516967217e-01,6.695394811700519089e-01,3.891473354328679468e-01
6.022781715636764677e-01,6.086458016313901487e-01,1.403463716846142795e-02,6.274617842487884012e-01
4.237523897877920054e-01,5.826898059234316696e-01,5.585668645589014769e-02,4.502237022729103089e-01
5.604916975829729031e-01,2.408099842686695080e-01,8.815100816912199155e-01,8.060911304888841444e-01
-5.950063282339625170e-02,3.352183840548080829e-01,5.892088935904722380e-01,7.828096382305715917e-02
2.988604648869641056e-01,4.856101190117538824e-01,2.722269111468669234e-01,3.742527167326363813e-01
