# LShoulderPitch,LShoulderRoll,BlobX,BlobY
1.978440284729003906e-01,1.779019832611083984e-01,5.108212471008301003e-01,3.169967651367187611e-01
1.548919677734375000e-01,1.702320575714111328e-01,5.188150882720947710e-01,2.228298664093017467e-01
1.226780414581298828e-01,9.506607055664062500e-02,6.115610122680664729e-01,2.049230575561523382e-01
1.625998020172119141e+00,2.576699256896972656e-01,5.070767402648925781e-01,6.898368835449218972e-01
1.625998020172119141e+00,2.576699256896972656e-01,1.681996822357177956e-01,4.292977015177408817e-01
4.847021102905273438e-01,-1.104898452758789062e-01,7.783007144927979182e-01,8.563908894856770981e-01
3.359041213989257812e-01,-6.907200813293457031e-02,7.429077625274658203e-01,6.260904312133789285e-01
3.128941059112548828e-01,-9.245872497558593750e-03,6.733815670013427734e-01,5.807909011840820535e-01
2.944860458374023438e-01,1.069593429565429688e-02,6.717794418334961382e-01,5.753737767537434600e-01
2.546019554138183594e-01,8.125996589660644531e-02,6.146008491516113947e-01,5.305030186971028128e-01
2.285239696502685547e-01,1.073379516601562500e-01,5.933366298675537553e-01,4.922619183858235603e-01
2.116501331329345703e-01,1.441540718078613281e-01,5.686074733734131081e-01,4.714035034179687167e-01
1.993780136108398438e-01,2.147181034088134766e-01,5.686074733734131081e-01,4.714035034179687167e-01
1.717660427093505859e-01,3.006219863891601562e-01,5.686074733734131081e-01,4.714035034179687167e-01
4.110701084136962891e-01,3.328361511230468750e-01,3.551869392395019531e-01,7.196727752685546653e-01
4.647600650787353516e-01,3.926620483398437500e-01,3.234658718109131303e-01,7.838558832804362053e-01
5.000419616699218750e-01,5.491299629211425781e-01,1.987652182579040527e-01,8.009792327880859153e-01
4.862360954284667969e-01,6.488399505615234375e-01,1.087454676628112904e-01,7.685749053955077681e-01
3.819241523742675781e-01,6.488399505615234375e-01,1.120833277702331654e-01,7.171527862548827681e-01
4.847021102905273438e-01,-4.759597778320312500e-02,7.231190681457519975e-01,8.969544092814127900e-01
4.847021102905273438e-01,-1.334998607635498047e-01,8.252483367919922763e-01,9.230813344319661606e-01
4.325461387634277344e-01,-2.009959220886230469e-01,9.001548767089844194e-01,8.374451319376627900e-01
3.359041213989257812e-01,-1.871900558471679688e-01,8.480143547058105469e-01,6.265503565470377234e-01
2.806799411773681641e-01,-1.871900558471679688e-01,8.422263145446777788e-01,5.477530797322590628e-01
1.963100433349609375e-01,-1.933259963989257812e-01,8.718565940856933816e-01,3.999845186869303570e-01
1.088719367980957031e-01,-1.917920112609863281e-01,8.744284629821778010e-01,2.398816426595052065e-01
4.444408416748046875e-02,-1.902580261230468750e-01,8.746323585510253906e-01,1.094262282053629493e-01
3.370594978332519531e-02,-1.856560707092285156e-01,8.608003616333008701e-01,8.963502248128255023e-02
3.370594978332519531e-02,-8.594608306884765625e-02,7.570921897888184260e-01,1.385342756907145256e-01
1.376414299011230469e-02,-1.077985763549804688e-02,6.527604103088379128e-01,1.312152783075968276e-01
1.529812812805175781e-02,4.751205444335937500e-02,6.042109966278076394e-01,1.732860565185546931e-01
1.990008354187011719e-02,3.830814361572265625e-02,6.353115081787109597e-01,1.527443885803222712e-01
2.603602409362792969e-02,4.137611389160156250e-02,6.353115081787109597e-01,1.527443885803222712e-01
9.353208541870117188e-02,9.199810028076171875e-02,6.021885395050049494e-01,3.009539922078450225e-01
9.506607055664062500e-02,2.453980445861816406e-01,6.021885395050049494e-01,3.009539922078450225e-01
1.334159374237060547e-01,8.586215972900390625e-02,5.869436740875244585e-01,3.463667869567871316e-01
1.917080879211425781e-01,1.069593429565429688e-02,6.410700798034668635e-01,4.099788983662923103e-01
2.223880290985107422e-01,1.349501609802246094e-01,4.948296546936035156e-01,4.526287396748860381e-01
2.223880290985107422e-01,2.990880012512207031e-01,4.479692935943603849e-01,4.532688140869140514e-01
2.929520606994628906e-01,5.199840068817138672e-01,1.780112743377685602e-01,5.412220637003580803e-01
2.592041492462158203e-01,5.460619926452636719e-01,1.400012850761413741e-01,4.818501472473144531e-01
1.502900123596191406e-01,5.460619926452636719e-01,1.366753458976745772e-01,4.001157442728678348e-01
7.819199562072753906e-02,5.414600372314453125e-01,1.366753458976745772e-01,4.001157442728678348e-01
-1.691603660583496094e-02,3.098261356353759766e-01,9.841492652893066850e-01,6.768589019775390903e-02
1.472220420837402344e-01,2.147181034088134766e-01,4.237827777862548939e-01,3.711142222086588616e-01
1.472220420837402344e-01,2.147181034088134766e-01,4.237827777862548939e-01,3.711142222086588616e-01
1.150081157684326172e-01,8.279395103454589844e-02,5.981164455413818803e-01,2.747924486796061161e-01
3.370594978332519531e-02,1.027359962463378906e-01,5.318747997283935769e-01,1.256881157557169504e-01
1.376414299011230469e-02,2.791459560394287109e-01,3.607853651046752930e-01,1.141851822535196875e-01
-1.231384277343750000e-02,3.895940780639648438e-01,2.297527790069580078e-01,9.013703664143879468e-02
-4.299402236938476562e-02,5.107800960540771484e-01,1.140123009681701660e-01,7.902443408966064453e-02
-4.299402236938476562e-02,5.123140811920166016e-01,9.751983880996704934e-02,7.336459954579671594e-02
-3.532385826110839844e-02,5.123140811920166016e-01,1.168750047683715931e-01,1.290522893269856752e-01
1.529812812805175781e-02,5.123140811920166016e-01,1.245958447456359947e-01,2.073084354400634710e-01
